Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
GNI (constant 2015 US$);NY.GNP.MKTP.KD;49399811950;54572416961;58863671394;62906718103;68232896081;79755058130;89110094031;98992609211;1.12929E+11;1.30465E+11;1.44685E+11;1.64672E+11;1.89121E+11;2.03689E+11;2.18102E+11;2.18227E+11;2.56102E+11;2.47924E+11;2.15135E+11;1.94331E+11;1.52419E+11;1.43674E+11;1.75809E+11;1.95428E+11;1.8117E+11;1.84137E+11;1.66163E+11;1.65658E+11;1.55565E+11;1.65119E+11;1.87597E+11;2.11903E+11;2.18627E+11;2.15366E+11;2.10656E+11;2.15655E+11;2.29463E+11;2.33111E+11;2.38305E+11;2.43811E+11;2.57918E+11;2.64263E+11;2.85793E+11;3.10153E+11;3.22373E+11;3.32534E+11;3.50085E+11;3.79723E+11;3.80913E+11;3.83085E+11;4.05518E+11;4.16541E+11;4.0357E+11;3.97377E+11;4.16459E+11;4.08517E+11;4.44735E+11;4.5703E+11;4.48313E+11;null;null;null;null
Gross domestic savings (current US$);NY.GDS.TOTL.CD;320857632.8;429364757.3;553180493.7;638556916.3;922529604.6;1333279714;1468284286;1620889128;2372916461;2468105261;2731094050;3496436980;5135748768;10360372035;19488586180;15854150159;27696741523;30243088521;20628949666;25148885020;20094987563;14533495880;24734596902;33159584806;31269723241;30775838558;27258380165;22415199005;12171520412;19855387200;26557878752;null;null;21252723499;24622413222;34436891125;48458808130;41018932117;32009440074;41111950769;40922331686;46827967533;53622409792;67771860195;87582599269;1.05799E+11;1.22757E+11;1.71784E+11;1.99104E+11;1.84556E+11;2.25263E+11;2.78793E+11;2.50314E+11;1.97994E+11;1.83375E+11;1.26585E+11;1.51954E+11;1.70425E+11;1.17616E+11;1.01045E+11;94213532996;1.53055E+11;1.5752E+11
GDP per capita (current LCU);NY.GDP.PCAP.CN;14871.53748;15254.14665;15728.2402;16051.50968;17016.56462;19031.35727;20250.55827;21900.00561;24305.04229;26698.28707;29225.27915;35533.07604;43152.00667;60210.69267;97972.64568;107416.3968;141847.8097;163109.158;152711.5973;171223.3659;175333.9422;198700.6776;250273.3381;309789.7751;326848.0872;334447.5281;327236.3411;384226.6722;420261.4188;507639.3333;680840.1446;927480.9389;1210354.971;1776125.328;2329413.974;3246496.837;4390168.05;5067791.511;5571066.306;7366849.357;9582363.105;11073252.31;15203577.03;18514227.27;23703915.82;28923235.02;34264273.2;44902245.41;53025210.44;55265309.94;66811128.2;90329202.76;102110997.2;135548599.3;153257270.4;147985886.2;172962942.2;198052232.9;251228464.1;316112349.2;467307671.8;759461969.6;1136382399
Gross value added at basic prices (GVA) (current US$);NY.GDP.FCST.CD;3958659570;4192456235;4451895204;4659439787;5105871847;5865919306;6368808640;7100754678;8088385675;9130536834;10296694420;12952951563;16239419684;26067308597;45681078453;50780426784;66677938795;78200240189;75724630480;90330152150;92319930181;99083748269;1.23755E+11;1.51729E+11;1.56742E+11;1.73907E+11;2.01839E+11;1.29851E+11;1.20255E+11;1.17464E+11;1.22154E+11;null;null;63790049658;72462026725;97521472935;1.20682E+11;1.13592E+11;1.10086E+11;1.13311E+11;1.08897E+11;1.25656E+11;1.27441E+11;1.51817E+11;1.89345E+11;2.29894E+11;2.71168E+11;3.51581E+11;4.12991E+11;4.12921E+11;4.82418E+11;6.23617E+11;6.39657E+11;4.88812E+11;4.51002E+11;3.97797E+11;4.42724E+11;4.70664E+11;3.1721E+11;2.74418E+11;2.33859E+11;3.50966E+11;3.87065E+11
GDP deflator (base year varies by country);NY.GDP.DEFL.ZS;0.019521967;0.018643823;0.018317857;0.017969799;0.018082415;0.017798038;0.01748839;0.0174916;0.017450111;0.017068021;0.017334075;0.019072511;0.020808004;0.027803842;0.04402181;0.049882752;0.057369274;0.069926157;0.077519961;0.102117409;0.138094714;0.174377494;0.187234249;0.216130092;0.254490262;0.264808539;0.297209303;0.361208627;0.433740401;0.508170288;0.624018869;0.783874489;1.013875278;1.519766748;2.035446199;2.807643488;3.617189465;4.178869774;4.570911159;6.020248682;7.52105216;8.634575442;11.07640696;12.53144749;15.62774791;18.7792695;21.51777394;26.45374931;31.59159144;33.04433612;38.29264443;51.08603817;60.76882665;83.11694665;91.22813725;91.40785821;100;113.0353312;148.6222293;194.2372498;280.2163366;438.0332096;642.4420038
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;3.88999E+14;4.02761E+14;4.55396E+14;5.00199E+14;5.72676E+14;6.4361E+14;6.90867E+14;8.16345E+14;9.50122E+14;1.0662E+15;1.16791E+15;1.73641E+15;1.98838E+15;3.83084E+15;8.38028E+15;7.39955E+15;8.2821E+15;7.5398E+15;5.24487E+15;6.2332E+15;1.82422E+15;1.60159E+15;2.63049E+15;2.69032E+15;2.09515E+15;1.78083E+15;8.93709E+14;2.87851E+15;1.18952E+15;1.51313E+15;2.05654E+15;2.23786E+15;2.15403E+15;4.40068E+15;4.58366E+15;3.43165E+15;3.37195E+15;2.63999E+15;1.88545E+15;2.8561E+15;2.90314E+15;2.87745E+15;3.83352E+15;4.18866E+15;4.7235E+15;6.03448E+15;6.4038E+15;7.24542E+15;6.86314E+15;5.95047E+15;7.08878E+15;7.81448E+15;4.18963E+15;3.78472E+15;3.38529E+15;2.36521E+15;3.04917E+15;3.05641E+15;2.33985E+15;1.26842E+15;8.247E+14;1.36262E+15;1.55444E+15
Services, value added (constant 2015 US$);NV.SRV.TOTL.KD;14965644060;15199761553;15834988984;16638122400;18452161615;21848824040;23685125290;26252366397;29212683529;32380702964;35664937846;40932830976;50468612808;52444206585;73673798715;87063057594;98438040686;1.03473E+11;1.05531E+11;1.04859E+11;1.03731E+11;92342385751;90253434624;97755886591;96405255151;98436699703;84444738789;77830881531;70679776282;75411607869;83406604777;92086013878;95891240963;96393421681;98632808351;1.01691E+11;1.07598E+11;1.12466E+11;1.16337E+11;1.19976E+11;1.23525E+11;1.29849E+11;1.39014E+11;1.49514E+11;1.60743E+11;1.72355E+11;1.84666E+11;2.01482E+11;1.98897E+11;2.01052E+11;2.11768E+11;2.20286E+11;2.22466E+11;2.22044E+11;2.27263E+11;2.2526E+11;2.35287E+11;2.40128E+11;2.39997E+11;2.39545E+11;2.44928E+11;2.60732E+11;2.66162E+11
Manufacturing, value added (% of GDP);NV.IND.MANF.ZS;8.542499712;8.909956412;9.956708908;10.38073275;10.59922486;10.81533439;11.32367639;11.822097;11.99892931;12.52657086;12.42125855;11.91650757;11.70564996;10.98557095;8.737034111;9.112932293;9.415503527;9.195373719;8.825322099;7.465353463;9.828699259;10.57035642;10.14411813;9.062495465;9.467093181;8.875929868;9.15968647;10.24175892;11.3102577;10.9154168;14.51243465;15.95461266;16.06830324;13.56430156;15.51251446;15.34432231;16.50554303;17.43598158;16.89071244;16.65998772;16.63922502;17.14813115;15.09666321;14.79313534;15.70243428;15.04149207;15.03350612;12.90761577;12.9684578;13.27448939;12.78390806;13.79219147;16.3771989;15.72969562;15.58475562;13.45074441;12.94499498;13.75240254;15.12142272;18.04559618;21.13948696;21.21509497;null
Manufacturing, value added (current LCU);NV.IND.MANF.CN;27172361521;29878772031;35399849472;38755798504;43194311741;50772261169;58241954177;67660262752;78377648372;92450983024;1.03277E+11;1.23954E+11;1.521E+11;2.04929E+11;2.73023E+11;3.2163E+11;4.51971E+11;5.23095E+11;4.85097E+11;4.7557E+11;6.63828E+11;8.50138E+11;1.07899E+12;1.23607E+12;1.41188E+12;1.40311E+12;1.46612E+12;1.98889E+12;2.47702E+12;2.97251E+12;5.51277E+12;8.58126E+12;1.15469E+13;1.43962E+13;2.16759E+13;3.02851E+13;4.46355E+13;5.5209E+13;5.97167E+13;7.91309E+13;1.04506E+14;1.26606E+14;1.54531E+14;1.86117E+14;2.57054E+14;3.05328E+14;3.6715E+14;4.1915E+14;5.04178E+14;5.45245E+14;6.43774E+14;9.51109E+14;1.29309E+15;1.67285E+15;1.90987E+15;1.62806E+15;1.86523E+15;2.30166E+15;3.25255E+15;4.938E+15;8.62309E+15;1.41663E+16;null
Financial intermediary services indirectly Measured (FISIM) (current LCU);NV.FSM.TOTL.CN;2819020248;3179805637;3683686847;4662166508;5276993156;6383311468;7611714512;9089495488;11914705661;15602452698;19659761456;23711124080;35384103577;48656654982;95044177885;1.26104E+11;1.52629E+11;1.91272E+11;2.41254E+11;1.92633E+11;2.36928E+11;1.91712E+11;1.60968E+11;1.01099E+11;1.2738E+11;1.0581E+11;99486685076;86435904771;1.05843E+11;89614645121;2.35253E+11;6.27647E+11;7.0054E+11;1.1126E+12;1.76491E+12;1.60182E+12;2.72619E+12;4.07754E+12;4.95048E+12;6.11065E+12;8.94777E+12;1.11709E+13;1.99523E+13;3.02826E+13;4.33063E+13;5.27794E+13;6.53341E+13;8.25882E+13;8.84522E+13;9.59702E+13;1.38374E+14;null;null;null;null;null;null;null;null;null;null;null;null
Agriculture, forestry, and fishing, value added (constant 2015 US$);NV.AGR.TOTL.KD;4545709955;4607513256;4630333141;4741855874;4644999612;5000170366;5179453633;5591970251;6124341678;6200916964;6408159823;6367421971;7228785753;7647956779;7910682627;8689050018;9707586639;9327767839;9951618910;10555462530;10944541664;11147187038;11940972047;12484689821;13401130663;14459602113;15147067123;15523221878;15423541963;16092382672;17867181039;18871141153;20812177651;21012760489;21456407530;22252050843;22983539346;23209681946;25661889542;23787943347;24614245851;24057224271;27319218509;28671661237;28762087450;32146854518;34634991904;35404372216;28198444473;30346728181;32203020932;33401831351;35072154291;36943382112;40009428835;41195220593;43231847708;44681537369;43625942620;47648598839;49156747096;47871285832;48517548192
Trade (% of GDP);NE.TRD.GNFS.ZS;31.23754167;29.59524352;28.17599996;27.79091328;32.72864981;32.62603557;33.90697887;36.95543839;37.99193979;39.07814317;39.66701455;44.42802951;44.45344987;54.09788692;71.40468811;76.11562343;65.43508113;59.88807836;45.69456564;42.80582678;42.48267387;40.31310614;38.06351688;38.73011352;27.93413761;23.17239114;14.1448539;17.88485314;21.58397884;27.93502571;37.0805677;44.19417165;40.39792725;46.04086432;41.6091364;35.14424492;35.22129915;32.64955811;29.22821965;34.88541413;41.25724746;40.53556648;48.17268655;50.67910578;51.31385733;54.44049526;53.16735871;49.88730692;48.22940277;43.69958022;43.77064374;41.21941479;44.08934668;47.08671792;45.35142014;39.42258866;40.38784692;44.74487077;58.38490037;50.75433422;43.81016459;44.37383405;37.67152296
External balance on goods and services (current US$);NE.RSB.GNFS.CD;-148623522.1;-94336011.6;38426763.87;141505731;3653726.757;-20171391.84;-89504574.99;-178485510.9;-261589867.9;-294433623.4;-300301791.7;244757919.4;247261280.1;3461654472;10783896083;2773055993;6107914246;1372240187;978445643.4;9660039875;-14164364821;-15651420597;-4890560840;-15108728819;-8612447582;-9739286228;-13970909215;576180378.9;-8630857567;-9977684994;-13134204728;null;null;3046536574;10749816311;7914318073;6223632673;2171645134;-4258296496;4210835500;1837707919;-2447396907;842657774.6;-2186723106;-1482340334;14087911598;17497733977;27290477620;20306946772;7176178227;24479913678;54143054241;5546779793;16158581741;1426839695;-8086369894;8864027909;3535396049;6723941799;-10740672998;-11893149790;4684885726;7463232909
Imports of goods and services (constant 2015 US$);NE.IMP.GNFS.KD;15780891999;15032795821;13883090117;13134993939;18426790058;21214432657;24128070401;29978969980;36026736973;40223950264;43326580727;51776130185;60209930251;76463436532;1.37376E+11;2.07649E+11;2.03046E+11;2.30146E+11;1.60408E+11;1.20927E+11;1.23352E+11;1.169E+11;1.04303E+11;1.44716E+11;99451846962;92548977201;80580150407;88639121495;75435362391;90084713206;1.19106E+11;1.58845E+11;1.43975E+11;1.15444E+11;69755901640;68891527000;81063648405;75888051010;79466768544;74589632143;86474415937;1.02262E+11;1.20539E+11;1.43164E+11;1.5733E+11;1.54985E+11;1.61393E+11;1.70797E+11;1.8066E+11;1.77673E+11;1.81837E+11;1.64923E+11;1.30182E+11;1.06363E+11;1.07895E+11;84507234684;89508769979;95598392114;70471141145;47591403908;33451792727;41511927550;45351365743
Gross capital formation (constant LCU);NE.GDI.TOTL.KN;4.85887E+14;5.17893E+14;5.1608E+14;5.50436E+14;6.52551E+14;8.07651E+14;8.99331E+14;1.02458E+15;1.26628E+15;1.37402E+15;1.50227E+15;1.52116E+15;2.03726E+15;2.12398E+15;3.20198E+15;4.32873E+15;5.61729E+15;5.72164E+15;4.6429E+15;3.08886E+15;3.55816E+15;3.08093E+15;2.86947E+15;3.73927E+15;2.86496E+15;2.58566E+15;2.4868E+15;2.46449E+15;1.60014E+15;1.92423E+15;2.38722E+15;3.11249E+15;2.88176E+15;2.09428E+15;1.45239E+15;1.87048E+15;2.40128E+15;2.3332E+15;2.36403E+15;2.45211E+15;2.55907E+15;2.93702E+15;3.47556E+15;4.10181E+15;4.32628E+15;4.17837E+15;4.38718E+15;4.95735E+15;5.4369E+15;5.60833E+15;6.15264E+15;5.88643E+15;5.46835E+15;4.97398E+15;5.1742E+15;3.15799E+15;4.19431E+15;4.47353E+15;4.1979E+15;null;null;null;null
Gross capital formation (current US$);NE.GDI.TOTL.CD;1056079086;1114784364;1146591744;948368685;1431672169;1974249035;2323421492;2579909969;3570136959;3912296504;4460351277;4779435825;6879504110;9498380262;14338351280;21432845534;32728019974;39033740181;30515369283;22605355311;45166402351;40275925121;33720496975;56710906585;53624780019;43739554546;46446422271;26926598712;21084660119;27771927534;41215639591;null;null;19375059791;16735172174;29099488040;45495932763;40490105427;37338588203;37048181671;38467274099;44727064474;50234099134;64650427608;87417675992;87676977068;1.02922E+11;1.39004E+11;1.72181E+11;1.70299E+11;1.96001E+11;2.25513E+11;2.34113E+11;1.72201E+11;1.70064E+11;1.30556E+11;1.33307E+11;1.54732E+11;1.0341E+11;null;null;null;null
Gross fixed capital formation (% of GDP);NE.GDI.FTOT.ZS;30.11697607;27.41477644;24.0351738;23.94934574;27.1794977;31.28348305;29.28894144;34.43506835;34.20136557;36.28996111;36.81983941;34.75705051;36.91316249;34.21119522;27.96516997;42.20513039;49.31620097;49.13352461;47.25790488;31.1039847;36.9223238;33.60446861;30.94854477;39.18490876;39.43532457;32.87852648;29.96978714;26.26023679;24.59869986;24.66124886;26.98318321;34.67487091;33.01689641;27.82796039;25.96435753;24.68889427;31.46451891;32.65023332;32.63835334;31.84427349;31.30545392;35.79939754;33.24578326;32.6580827;31.23817549;28.55716877;27.24709615;28.342124;31.92269305;30.85489639;27.35283332;29.05372873;30.05396543;27.44560637;28.5708134;25.3650139;22.12070854;22.00580072;22.0637503;23.22031039;28.47935058;26.8480485;29.01835363
Gross fixed capital formation (current LCU);NE.GDI.FTOT.CN;95797411665;91933093463;85454093564;89413342962;1.10763E+11;1.46859E+11;1.50644E+11;1.97079E+11;2.23405E+11;2.67834E+11;3.06139E+11;3.61537E+11;4.7964E+11;6.3819E+11;8.73881E+11;1.48958E+12;2.36732E+12;2.79505E+12;2.5976E+12;1.98144E+12;2.49373E+12;2.70269E+12;3.29188E+12;5.34459E+12;5.88121E+12;5.19745E+12;4.79702E+12;5.09958E+12;5.38726E+12;6.7158E+12;1.025E+13;1.865E+13;2.37263E+13;2.95347E+13;3.62804E+13;4.87285E+13;8.50886E+13;1.03383E+14;1.15392E+14;1.51253E+14;1.9662E+14;2.6431E+14;3.40308E+14;4.10881E+14;5.11379E+14;5.79684E+14;6.65432E+14;9.20355E+14;1.24107E+15;1.26735E+15;1.37744E+15;2.00355E+15;2.37296E+15;2.91884E+15;3.50127E+15;3.07015E+15;3.18735E+15;3.68298E+15;4.74582E+15;6.35401E+15;1.16171E+16;1.79277E+16;2.92004E+16
Domestic credit to private sector (% of GDP);FS.AST.PRVT.GD.ZS;12.93681681;14.2183461;12.97752832;14.83352175;16.4653159;15.96772425;17.20658887;17.83092394;19.00933599;19.34586014;20.98020089;19.67152025;20.46522615;19.79745772;15.37110179;20.91926696;21.68477564;21.49023757;null;25.73462184;29.69508404;26.16050401;20.66915143;19.81902473;18.30482291;19.25917446;22.78181313;21.54547759;21.33045845;22.7084297;22.97866413;22.42038052;23.19095226;20.85201807;19.70570131;16.68823738;15.17698489;16.60541304;18.02192033;18.04327967;26.24978118;30.07958278;29.10088063;32.43325476;35.0710959;38.34815323;44.7948028;47.04727614;45.31506944;49.21222941;52.02294982;49.2475079;49.61732348;44.59649913;48.9844793;56.37195936;60.29749349;null;null;null;null;null;null
Aquaculture production (metric tons);ER.FSH.AQUA.MT;0;0;0;0;0;0;0;0;0;0;0;60;155;311;887;1510;2675;3800;4935;7040;9263;11197;13356;15368;18369;17776;20930;24820;26400;26000;27147;20226;21806;21882;25899;28636;29977;30279;33237;31800;40550;62550;76817;91714;104330;111761;129468;158549;154726;179552;220034;247262;296514;325325;320174;346118;398129;412887;439718;458131;480500;478737;null
Population in urban agglomerations of more than 1 million;EN.URB.MCTY;3279743;3459070;3648842;3849419;4061741;4285584;4522567;4762447;5009366;5268686;5542187;5830285;6134233;6453605;6790618;7145814;7520767;7872857;8220821;8589371;8980736;9395101;9836182;10305700;10806898;11340466;11911684;12274352;12577122;12888622;13210487;13542680;13779666;13984912;14194219;14407388;14624807;14888346;15172353;15462459;15759227;16061574;16370896;16686943;17010333;17339889;17677138;18000870;18322058;18649593;18985005;19328042;19615904;19878664;20146021;20417685;20694108;20974219;21258844;21550514;21850176;22157132;22458915
CO2 emissions from solid fuel consumption (% of total);EN.ATM.CO2E.SF.ZS;1.637736589;1.435022579;1.448707909;1.463544439;1.526599846;1.404992498;1.177344688;1.133419689;0.956746173;1.566222536;1.373034246;1.40591204;2.287649457;2.057100818;2.112371003;1.878897924;1.486527612;1.424577882;1.56186521;1.468780041;2.013952078;1.708457841;2.173508702;1.838568316;2.173542655;2.132658182;2.41419358;2.291111315;2.1050659;1.599478348;1.50370732;1.767208619;1.451717224;1.788471117;1.599170304;1.436376285;1.460309735;1.440827357;1.669265786;1.525622989;1.564730154;1.180510527;1.266025982;1.329085697;1.190851064;1.349930629;1.220166473;1.256781036;1.097854856;0.797332934;0.989821743;0.946566856;0.723614827;0.695670402;0.588478229;0.714852797;0.570244651;null;null;null;null;null;null
Net bilateral aid flows from DAC donors, Italy (current US$);DC.DAC.ITAL.CD;100000.0015;270000.0107;-239999.9946;-189999.9976;-39999.99911;129999.9952;null;189999.9976;150000.006;180000.0072;150000.006;140000.0006;209999.9934;280000.0012;310000.0024;560000.0024;360000.0143;319999.9928;620000.0048;200000.003;270000.0107;180000.0072;360000.0143;189999.9976;330000.0131;569999.9928;759999.9905;600000.0238;1259999.99;889999.9857;1399999.976;2079999.924;189999.9976;2670000.076;529999.9714;79999.99821;100000.0015;19999.99955;59999.99866;90000.00358;1919999.957;200000.003;5599999.905;3430000.067;3789999.962;550000.0119;109999.9994;140000.0006;1710000.038;319999.9928;129999.9952;100000.0015;59999.99866;70000.0003;850000.0238;379999.9952;310000.0024;259999.9905;400000.006;2299999.952;4449999.809;3940000.057;null
Net migration;SM.POP.NETM;24066;45680;64099;77744;89360;95420;66156;44993;36935;45481;59763;47734;66558;74729;73218;76834;-11275;38058;40073;45412;66006;1266083;69511;95824;87876;82961;104653;97248;63143;59563;1375419;194979;-203400;-1595940;-197490;-120114;7728;198135;288994;277986;394594;393336;-568950;370945;369535;323987;252053;139826;90815;99224;127703;-150029;19635;23351;653255;628310;23759;7709;-29981;-34571;-156669;28080;null
Official exchange rate (LCU per US$, period average);PA.NUS.FCRF;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000008;75.75000007;75.74997013;68.88604195;67.64134225;67.65494553;70.23906986;70.63373188;70.49203098;70.49203098;70.63184809;78.34684538;83.62267002;86.37873589;90.05143989;91.07358684;78.77878307;71.47743572;68.69976463;72.03223643;68.11237271;67.52173001;65.56784129;1268.078761;1749.173736;1748.350246;1751.186356;1753.345477;1752.285995;1753.35495;1764.856069;1753.985685;6907.034456;8193.887519;8613.989421;8963.958907;9170.942878;9281.151828;9428.528261;9864.302456;10254.17647;10616.30664;12175.54722;18414.44801;25941.66414;29011.49138;30914.85244;33226.29815;40864.32901;42000;42000;42000;null
Taxes less subsidies on products (current US$);NY.TAX.NIND.CD;240474815.6;234492855;241671207.8;269188226.5;273973794.9;331400616.6;421130025.4;454629004.7;534787276.6;612552764.2;679550722.8;778851345.6;914043578.7;1014389652;528013618.9;995795565.9;1377356286;2399882513;2269686141;61725175.51;2042345399;1415564481;2193446939;4635854872;5535110051;6276405086;7256055685;4158909495;2803281452;3032300885;2659135789;null;null;-46426426.43;-620565552.7;-1102247191;-277693677.6;327109192.3;190985651.9;537015819.8;694451230.2;1222914193;1186369968;1728021601;697971582.1;-3441530945;-4868588565;-1699427135;-654516890.3;3475902142;4389598401;2516476863;4378046094;3963443659;9381024745;10416375055;15230165177;15966104502;10690983553;9231686873;5876312009;8130644234;1479495600
GNI per capita (constant 2015 US$);NY.GNP.PCAP.KD;2309.610548;2482.412451;2604.005361;2704.607415;2849.136388;3233.266067;3508.450985;3787.981384;4201.944114;4719.528437;5085.62515;5625.241542;6280.667055;6574.454827;6838.025886;6641.736074;7567.791351;7108.622061;5977.032422;5223.239074;3956.802988;3549.595086;4136.668774;4438.72674;3970.554627;3895.744311;3397.101888;3277.67069;2985.212911;3078.008835;3362.330976;3654.069728;3682.323818;3604.118131;3511.763928;3547.26035;3725.148449;3730.937756;3755.116114;3781.501549;3935.018878;3963.460837;4244.836826;4564.115913;4667.893258;4738.128429;4911.693325;5250.631679;5195.327811;5154.350353;5380.089168;5456.178842;5219.174067;5064.774375;5208.238621;4994.65719;5338.5576;5408.318268;5236.231615;null;null;null;null
Gross domestic income (constant LCU);NY.GDY.TOTL.KN;1.36989E+15;1.47435E+15;1.57341E+15;1.67144E+15;1.80745E+15;2.09535E+15;2.29789E+15;2.53798E+15;2.92247E+15;3.29501E+15;3.60326E+15;4.42263E+15;5.0677E+15;7.01169E+15;1.20149E+16;1.13651E+16;1.32015E+16;1.24977E+16;1.00229E+16;1.06695E+16;6.10425E+15;5.66826E+15;7.25668E+15;7.71547E+15;6.93499E+15;6.82631E+15;5.50581E+15;7.12586E+15;4.9516E+15;5.47508E+15;6.45914E+15;7.13384E+15;7.2472E+15;9.20837E+15;9.24254E+15;8.45295E+15;8.82569E+15;8.30569E+15;7.66392E+15;8.83859E+15;9.19177E+15;9.48969E+15;1.10731E+16;1.194E+16;1.28838E+16;1.44817E+16;1.5298E+16;1.70697E+16;1.67924E+16;1.60131E+16;1.76946E+16;1.87819E+16;1.51826E+16;1.46288E+16;1.46443E+16;1.32139E+16;1.44089E+16;1.47982E+16;1.38821E+16;1.29326E+16;1.3269E+16;1.43846E+16;1.48343E+16
GDP per capita (constant LCU);NY.GDP.PCAP.KN;76178479.26;81818768.5;85862881.81;89324924.72;94105598.23;106929524;115794299.7;125202988.6;139283021.9;156422858.3;168600170.2;186305182.8;207381773.2;216555300.6;222554787.9;215337751.5;247253974.3;233259148.6;196996484;167673041.1;126966439.9;113948579.4;133668567;143334864.6;128432453.6;126297863.9;110102994.1;106372507;96892384.94;99895516.43;109105698.3;118320082;119379079.3;116868284.5;114442424.3;115630665;121369590.7;121271821.9;121880870.4;122367858;127407215.1;128243159;137260910.3;147742128.7;151678386.1;154016827;159237072;169738682;167845961.6;167245938.1;174475096.2;176817788.2;168031872.3;163081783.9;167993422.9;161896240.7;172962942.2;175212679.8;169038282.6;162745482.4;166766748;173379997.9;176884822.6
GDP per capita (current US$);NY.GDP.PCAP.CD;196.3239269;201.3748731;207.6335337;211.9011176;224.6411168;251.2390396;267.3341023;289.1089847;320.8586438;352.4526342;385.8122656;469.083558;569.6634544;874.1135953;1448.763707;1575.806074;2011.027287;2311.01543;2166.890348;2429.561772;2449.653401;2482.920485;2963.49806;3551.494647;3556.485029;3812.10637;4274.80524;2651.484868;2361.417198;2246.19174;2237.052261;null;null;1066.741938;1197.642146;1585.977937;1954.660752;1823.274514;1737.700033;1765.783643;1672.022877;1902.947639;1910.477134;2259.51632;2751.793042;3226.613971;3736.177793;4838.003556;5623.911681;5602.556282;6458.573956;8201.581678;8329.002067;6280.681868;5757.543333;4990.936795;5497.243233;5758.590728;3829.829855;3276.753265;2746.419483;4084.200305;4387.825715
GDP (constant LCU);NY.GDP.MKTP.KN;1.62937E+15;1.79867E+15;1.94093E+15;2.07762E+15;2.2537E+15;2.63763E+15;2.94102E+15;3.27197E+15;3.74327E+15;4.3241E+15;4.79663E+15;5.45384E+15;6.24459E+15;6.70929E+15;7.0985E+15;7.07535E+15;8.36734E+15;8.13526E+15;7.09062E+15;6.23828E+15;4.89083E+15;4.61221E+15;5.68092E+15;6.31075E+15;5.86017E+15;5.96962E+15;5.38549E+15;5.37622E+15;5.04924E+15;5.35887E+15;6.0874E+15;6.86149E+15;7.08778E+15;6.98351E+15;6.86491E+15;7.02974E+15;7.47617E+15;7.57713E+15;7.73473E+15;7.88964E+15;8.35083E+15;8.55059E+15;9.24138E+15;1.00398E+16;1.04752E+16;1.08093E+16;1.13497E+16;1.22754E+16;1.23062E+16;1.24302E+16;1.31509E+16;1.34988E+16;1.2993E+16;1.27952E+16;1.3433E+16;1.32416E+16;1.44089E+16;1.48064E+16;1.44726E+16;1.40879E+16;1.45571E+16;1.52442E+16;1.56633E+16
GDP (current LCU);NY.GDP.MKTP.CN;3.18084E+11;3.35341E+11;3.55538E+11;3.73344E+11;4.07523E+11;4.69447E+11;5.14338E+11;5.7232E+11;6.53205E+11;7.38039E+11;8.31451E+11;1.04018E+12;1.29937E+12;1.86544E+12;3.12489E+12;3.52938E+12;4.80028E+12;5.68868E+12;5.49665E+12;6.37037E+12;6.75398E+12;8.04266E+12;1.06366E+13;1.36394E+13;1.49136E+13;1.58081E+13;1.60062E+13;1.94194E+13;2.19006E+13;2.72322E+13;3.79865E+13;5.37854E+13;7.18612E+13;1.06133E+14;1.39732E+14;1.9737E+14;2.70427E+14;3.16638E+14;3.53548E+14;4.74976E+14;6.2807E+14;7.38307E+14;1.02361E+15;1.25813E+15;1.63703E+15;2.02991E+15;2.44221E+15;3.2473E+15;3.88772E+15;4.10747E+15;5.03581E+15;6.896E+15;7.89568E+15;1.0635E+16;1.22547E+16;1.21039E+16;1.44089E+16;1.67364E+16;2.15096E+16;2.7364E+16;4.07914E+16;6.67745E+16;1.00627E+17
Gross value added at basic prices (GVA) (constant LCU);NY.GDP.FCST.KN;1.53959E+15;1.70732E+15;1.84524E+15;1.96867E+15;2.14385E+15;2.50233E+15;2.76497E+15;3.08217E+15;3.51921E+15;4.06158E+15;4.51002E+15;5.15635E+15;5.92545E+15;6.47286E+15;7.03355E+15;6.95525E+15;8.21687E+15;7.91121E+15;6.90013E+15;6.24837E+15;4.79599E+15;4.55772E+15;5.59484E+15;6.13775E+15;5.67332E+15;5.77494E+15;5.21057E+15;5.22137E+15;4.94558E+15;5.23604E+15;5.97143E+15;6.70552E+15;6.91101E+15;7.00469E+15;6.94016E+15;7.12648E+15;7.51067E+15;7.57277E+15;7.73912E+15;7.8705E+15;8.31702E+15;8.48768E+15;9.17723E+15;9.94964E+15;1.0411E+16;1.09466E+16;1.15288E+16;1.23047E+16;1.22954E+16;1.22961E+16;1.30002E+16;1.33983E+16;1.28223E+16;1.26111E+16;1.30474E+16;1.28126E+16;1.39297E+16;1.42471E+16;1.37455E+16;1.34147E+16;1.39612E+16;1.45714E+16;1.49711E+16
